artist,artist_id,popularity,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Black Flag,5Mhs3Eu8lU6sRCtRYsmABV,49,Damaged,Six Pack,5Og9VyCOfxmZCuv1UhIyxE,0.33,0.784,2,-15.285,1,0.19,2.08e-05,0.58,0.196,115.402,140493,4
Fear,0hPU1czS0JdstuT8VRtBPS,39,The Record,I Love Livin' in the City,0qHt7KGw9LPm4Ms4qUZlSd,0.547,0.839,5,-9.521,0,0.0709,0.0,0.433,0.343,95.611,125040,4
Bad Religion,2yJwXpWAQOOl5XFzbCxLs9,47,Suffer,Suffer,7AoWDXgfVQO8pK4hb0Kswt,0.39,0.974,9,-3.243,0,0.0774,0.0,0.119,0.67,144.312,107323,4
Minor Threat,07PiZYrhllpSXtELkUxlrf,0,First Two 7s,Straight Edge,1xXKacUn8XhZ2ifv05RjL1,0.251,0.958,5,-6.383,1,0.0685,0.00408,0.313,0.748,189.067,47227,4
Descendents,1FGH4Bh7g9W6V4fUcKZWp5,47,Milo Goes to College,Hope,1MPEPvmX18S9MK4RlMKIst,0.506,0.903,2,-8.898,1,0.0455,0.0,0.336,0.781,117.229,120360,4
Dead Kennedys,30U8fYtiNpeA5KH6H87QUV,43,Fresh Fruit for Rotting Vegetables,Holiday in Cambodia,6n7DUOZGILo0dU9pwjQsbA,0.13,0.979,2,-3.903,1,0.113,0.409,0.338,0.368,205.39,277533,4
Operation Ivy,18XRGxd1b484f2h06cwvJJ,0,Operation Ivy,Sound System,7xkSwLmSHDlnNuiePDgp22,0.569,0.954,2,-4.82,1,0.126,0.000265,0.0768,0.574,91.205,134027,4
Adolescents,2sSmGd0x45FGBtjJwNBSFr,54,Adolescents,Amoeba,1xQE0QHrmJUQweLoMB0ZWC,0.231,0.962,4,-7.341,1,0.0753,0.00175,0.803,0.534,189.29,186627,4
Black Flag,5Mhs3Eu8lU6sRCtRYsmABV,46,Damaged,TV Party,4DA95pyBe6QORPGvTEuMWQ,0.308,0.926,1,-12.683,1,0.15,0.0,0.0782,0.193,96.17,211200,4
The Vandals,4AqIRTZF6DDmKmdorgFug6,0,Peace Thru Vandalism (Re-Mastered),Anarchy Burger (Hold The Government),43UVZ8ZgNNuXOf0mTBeLSo,0.391,0.935,2,-10.044,1,0.0816,0.0,0.219,0.171,140.412,114133,4
Agent Orange,1pBsvSnrhmgDZqisT13SFA,55,Living In Darkness (30th Anniversary Edition),Bloodstains - Original Version,5E47rKJbS74jyLZaSgb0kS,0.494,0.923,10,-7.69,0,0.182,0.0,0.128,0.577,176.216,113240,4
Minutemen,0z6zRFzl5njXWLVAisXQBz,51,Double Nickels on the Dime,Corona,2LUVo82IKIpCuBNSaqF0G8,0.47,0.913,7,-10.196,1,0.0343,0.267,0.222,0.977,130.425,145533,4
Descendents,1FGH4Bh7g9W6V4fUcKZWp5,47,Milo Goes to College,Suburban Home,35PI5Hsq17h723EbyyDFsi,0.388,0.771,2,-9.393,1,0.0385,0.0,0.359,0.826,99.258,100600,3
Operation Ivy,18XRGxd1b484f2h06cwvJJ,50,Operation Ivy (2007 Remaster),Knowledge - 2007 Remaster,4rpfA2rFOC7FMGxFNktB0i,0.42,0.947,5,-4.269,1,0.119,6.52e-05,0.416,0.51,92.027,102107,4
Rammstein,6wWVKhxIU2cEi0K81v7HvP,55,"Reise, Reise",Mein Teil,2OQRceDfxBfmwTEmNOSpFq,0.47,0.959,10,-4.338,1,0.075,0.0101,0.141,0.199,88.0,272413,4
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,0,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Cradle to the Grave,0IY0susCRiZKWwua9xlL74,0.516,0.987,4,-4.325,0,0.138,0.0,0.121,0.148,95.017,198067,4
Silverchair,4iudEcmuPlYNdbP3e1bdn1,34,Frogstomp (Deluxe Edition) [Remastered],Stoned,1qCjyHRdhPhFQOF2naMFuz,0.417,0.761,5,-5.48,1,0.0338,0.0,0.0621,0.401,92.909,168333,4
Silverchair,4iudEcmuPlYNdbP3e1bdn1,56,Frogstomp (Deluxe Edition) [Remastered],Suicidal Dream,3AZ5XoHdiFpiKMky6M1Gt9,0.465,0.708,11,-6.299,0,0.0327,1.34e-05,0.108,0.388,97.532,192783,4
311,41Q0HrwWBtuUkJc7C1Rp6K,64,From Chaos,Amber,6Fe3Flc9SjE03pqwD6PVQl,0.663,0.697,0,-9.442,1,0.0473,0.0224,0.0663,0.744,166.001,206973,4
311,41Q0HrwWBtuUkJc7C1Rp6K,62,Transistor,Beautiful Disaster,0LtsuNRz3IMRrHCYO9fKRk,0.576,0.738,11,-8.122,1,0.0353,0.00131,0.13,0.675,168.132,238400,4
The Frogs,6oKwhpxFeDeanFE9bC2b8g,36,Hopscotch Lollipop Sunday Surprise,Fuck Off,01qRtHoHogRz9Eldkjn9Mq,0.483,0.316,2,-14.682,1,0.0389,0.383,0.146,0.08,104.177,127747,4
Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,70,One-X,Riot,1Q2fYlSdwuutWj3QplhY9q,0.185,0.948,8,-3.892,1,0.147,0.0,0.105,0.316,196.578,207587,3
Nine Inch Nails,0X380XXQSNBYuleKzav5UO,44,Add Violence,Less Than,7jDKJSjIjT93v7brsZDcoT,0.521,0.934,3,-3.735,1,0.0793,0.886,0.204,0.238,127.983,210297,4
Nine Inch Nails,0X380XXQSNBYuleKzav5UO,55,With Teeth,Every Day Is Exactly The Same,0ypg59NyOVCpWVzd0SUsT5,0.607,0.941,0,-6.163,1,0.0486,0.071,0.119,0.414,144.04,294893,4
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,38,"EAT ME, DRINK ME",Heart-Shaped Glasses (When The Heart Guides The Hand),61vFSRtP3XztG3U9ox7ctY,0.604,0.908,9,-5.32,0,0.0767,0.00951,0.13,0.532,124.941,305800,4
Slipknot,05fG473iIaoy82BF1aGhL8,63,Iowa,Disasterpiece,47VSmPTydr0saGjbQGwCeg,0.395,0.988,11,-4.063,0,0.246,0.000244,0.134,0.189,107.684,308307,4
Waterparks,3QaxveoTiMetZCMp1sftiu,65,FANDOM,Turbulent,4ig3DcNoj3UfPdhL2Rw9J1,0.532,0.841,4,-4.993,0,0.172,0.0,0.136,0.23,172.004,162577,4
Silverchair,4iudEcmuPlYNdbP3e1bdn1,59,Freak Show,Freak,2RDgs05sg2vrpwiAEUkWd0,0.539,0.883,6,-6.614,0,0.0652,1.38e-06,0.0606,0.405,118.058,226107,4
Slipknot,05fG473iIaoy82BF1aGhL8,63,All Hope Is Gone (10th Anniversary),Snuff,2vPZ4Lklyu75zBR3SgbFNI,0.544,0.69,6,-5.723,0,0.0425,0.0095,0.0615,0.219,123.962,276147,4
Nine Inch Nails,0X380XXQSNBYuleKzav5UO,0,The Downward Spiral,Piggy,7vj2GPJROsOQRhRxT3cr9b,0.398,0.443,11,-14.007,0,0.12,0.239,0.151,0.565,197.749,264400,3
HELLYEAH,4hxDvVq5t8ebPYPdBl1F9f,50,Blood For Blood,Hush,0CLtAB24zCxWFJ9eq1ywh0,0.554,0.935,9,-3.621,0,0.0396,0.0,0.163,0.507,93.03,233157,4
Scorpions,27T030eWyCQRmDyuvr1kxY,52,Blackout,Blackout,15RpfmFhrE5RRkf4vZ6kZu,0.263,0.84,9,-9.757,1,0.0527,0.356,0.7,0.714,89.368,228267,4
Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,65,Ocean Avenue,Only One,0gZp88SA5OcujHLDGkxtI3,0.477,0.907,1,-4.814,0,0.0899,7.82e-05,0.149,0.304,81.291,257400,4
Various Artists,16BoY9HfrtxVodHVdgad07,41,Clueless / Original Motion Picture Soundtrack,Supermodel,4lHaUgqumnhiqLPwoG4MND,0.524,0.799,7,-7.808,1,0.0362,0.00436,0.249,0.55,115.197,187533,4
TODAY IS THE DAY,1maYtLoiB92ZaLYRIwLVNR,0,Silver Anniversary,This Machine Kills Fascists,68wq0Zy8nF0AkaxXTnhbAR,0.34,0.775,1,-9.626,0,0.0596,0.412,0.36,0.527,162.624,166147,4
Anti-Flag,30sqtiTKIb1oDve0SdYayT,53,For Blood And Empire,The Press Corpse,0mzqrv0bY7d5ECDfsRMUpf,0.315,0.967,10,-3.251,0,0.146,0.00418,0.205,0.765,186.335,200440,4
Anti-Flag,30sqtiTKIb1oDve0SdYayT,36,American Fall,The Criminals,6xZ5Q24NrZ2IowTyOfcWdz,0.531,0.967,1,-2.39,1,0.0728,0.0,0.154,0.644,99.009,163867,4
Rise Against,6Wr3hh341P84m3EI8qdn9O,65,The Sufferer & The Witness,Prayer Of The Refugee,4OSbctVD37ycS0H3rwRm72,0.2,0.977,3,-3.494,0,0.159,1.1e-05,0.259,0.39,195.711,199387,4
AC/DC,711MCceyCBcFnzjGY4Q7Un,45,Dirty Deeds Done Dirt Cheap,Problem Child,4cKoFvIkCA88axbQ6hfbRC,0.466,0.836,11,-4.223,0,0.117,0.154,0.043,0.659,134.296,345867,4
Rise Against,6Wr3hh341P84m3EI8qdn9O,39,Siren Song Of The Counter-Culture,Tip The Scales,2jZuyqEiL1zcTEQOjjvQmx,0.597,0.966,3,-3.442,0,0.067,0.000157,0.0535,0.521,106.042,229013,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,65,Siamese Dream (2011 - Remaster),Disarm - Remastered,7A8caPxvrT8ZgLvQPPUCcj,0.527,0.418,4,-10.205,0,0.0277,0.781,0.139,0.217,129.517,196905,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,60,(Rotten Apples) The Smashing Pumpkins Greatest Hits,Drown,3eMYc6FK9XvyauIaxcJtRS,0.432,0.415,2,-9.755,1,0.0357,0.927,0.107,0.189,144.0,270400,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),"Tonight, Tonight - Remastered 2012",4iCGSi1RonREsPtfEKYj5b,0.277,0.67,6,-9.381,1,0.0376,0.751,0.237,0.217,148.342,254627,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,54,Siamese Dream (2011 - Remaster),Mayonaise - Remastered,0AJTKW9fVFo3rIXbtTVE3T,0.482,0.529,10,-10.426,1,0.0271,0.546,0.0839,0.0879,145.969,348773,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Adore (2014 Remaster),Ava Adore,16YybWFlwLIqnkkjrw1GHZ,0.604,0.85,8,-5.977,1,0.0674,0.153,0.0531,0.78,160.35,270893,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Pisces Iscariot (Remastered),Landslide - Remastered,2dc1BYopTHgviDXawShfME,0.422,0.208,10,-15.886,1,0.0318,0.0265,0.192,0.354,111.549,190587,3
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,59,Siamese Dream (2011 - Remaster),Cherub Rock - Remastered 2011,0F2LiyHp9E0pAanpfnzHNp,0.371,0.866,9,-7.426,1,0.039,0.58,0.196,0.447,87.254,298253,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Adore (2014 Remaster),Perfect,5eua2V2VaB3A8Tmn7bwtNq,0.646,0.916,4,-6.288,0,0.0439,0.612,0.494,0.54,114.278,202853,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),Thirty-Three - Remastered 2012,02BSpb2sKuFgs0Go3LRbTj,0.607,0.333,6,-12.717,1,0.0324,0.4,0.151,0.0802,126.619,250293,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,51,Machina / The Machines Of God,Stand Inside Your Love,3RciEQxS7PxtLqMs7OwRsU,0.271,0.759,6,-7.419,1,0.0327,0.842,0.335,0.381,136.081,254493,4
Various Artists,40Yq4vzPs9VNUrIBG5Jr2i,0,Lost Highway,Eye,01hrUYtUbLQeSiLX60mAoJ,0.685,0.417,8,-9.67,0,0.0485,0.434,0.333,0.839,158.086,291520,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,43,Siamese Dream (2011 - Remaster),Rocket - Remastered,1nbXNrayQOc9UGVEudhlaT,0.202,0.665,0,-9.097,1,0.0342,0.928,0.0723,0.36,88.925,246413,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Gish,Siva - Remastered 2011,05ncVYDZpFvQLKu72kRdjI,0.383,0.728,9,-8.337,1,0.0386,0.874,0.14,0.261,109.299,259733,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,49,Machina / The Machines Of God,The Everlasting Gaze,4EhbLHYOXzEoPmOfaVoIIW,0.264,0.936,5,-5.067,0,0.0946,0.594,0.199,0.351,146.837,240733,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),Galapogos - Remastered 2012,6VVdZb0c2y0Mr1zYVUYOib,0.362,0.409,1,-14.268,1,0.0314,0.742,0.354,0.0448,120.56,286320,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,46,Machina / The Machines Of God,"Try, Try, Try",1P5dqn2alGf98KJzWU6iCE,0.537,0.854,2,-6.32,1,0.0293,0.877,0.0999,0.389,107.867,309027,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN.",Silvery Sometimes (Ghosts),0azl8sUKPLwTYDbEqyUPuY,0.56,0.966,2,-1.018,1,0.0353,0.00129,0.179,0.468,130.968,210661,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),Bodies - Remastered 2012,2MJU4Ct0DHikcmaZnM1C4R,0.401,0.918,8,-8.204,0,0.0694,0.881,0.365,0.378,108.305,252200,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,43,Siamese Dream (2011 - Remaster),Hummer - Remastered,5vru13VROtnyexNtXsCSl5,0.294,0.544,2,-9.837,1,0.0339,0.44,0.37,0.114,165.942,416187,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),Thru The Eyes Of Ruby - Remastered 2012,2UnLhBA70OQLGjBINIM6LF,0.26,0.483,5,-9.977,0,0.031,0.862,0.0829,0.144,140.713,458293,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,41,Mellon Collie And The Infinite Sadness (Deluxe Edition),We Only Come Out At Night - Remastered 2012,4vkcU3UFjYsKuBibmYA3hL,0.636,0.405,0,-11.819,1,0.0259,0.36,0.0717,0.377,106.768,245253,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,34,Machina / The Machines Of God,Age Of Innocence,1eLiYAsPJSE2YIgUvjXJXy,0.473,0.924,3,-6.334,0,0.0523,0.402,0.291,0.498,150.007,235067,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,43,Siamese Dream (2011 - Remaster),Quiet - Remastered,3so2oO0PUu9Mj5YTgVd3ef,0.417,0.84,4,-7.861,1,0.0321,0.577,0.278,0.254,98.747,222726,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,31,(Rotten Apples) The Smashing Pumpkins Greatest Hits,Untitled,1060Uh0w75iNTjnpfhkMhq,0.348,0.923,8,-4.965,1,0.0536,0.887,0.118,0.438,98.09,231693,3
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Gish,I Am One - Remastered 2011,1BcRP7VMAybvCo0eFb09ZI,0.486,0.729,6,-7.196,0,0.0425,0.884,0.047,0.798,107.542,246853,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Gish,Tristessa - Remastered 2011,1iRfjB3HDUGIi54bTJafsT,0.479,0.831,9,-7.958,1,0.0357,0.861,0.194,0.576,103.059,212240,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Gish,Snail - Remastered 2011,5ZhOFEPjbmlNyStoMi0SHt,0.241,0.589,2,-7.933,1,0.0349,0.693,0.0815,0.149,83.759,308773,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN.",Solara,6AzoBXNEFIIWO8lSmvXRn0,0.543,0.872,4,-3.035,1,0.0685,0.16,0.113,0.363,123.447,261237,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,Mellon Collie And The Infinite Sadness (Remastered),In The Arms Of Sleep - Remastered 2012,71s7gzLPt9bye9vFuIHagb,0.244,0.522,8,-12.076,1,0.0385,0.146,0.369,0.149,183.207,252533,3
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,32,Oceania,My Love Is Winter,5ERIROxMGj3x5QokC2TuFv,0.164,0.928,11,-6.691,0,0.0992,0.351,0.179,0.296,182.206,212067,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,0,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN.",Knights of Malta,49uJX6w9Xiwb8gpsgKmAQs,0.4,0.876,3,-1.822,1,0.0541,0.0153,0.209,0.261,79.35,277549,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,68,Mellon Collie And The Infinite Sadness (Deluxe Edition),Zero - Remastered 2012,4YFcGTdgmEuw8xTO4XrxbB,0.438,0.728,8,-7.105,1,0.0458,0.57,0.0509,0.701,128.04,160173,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,45,Mellon Collie And The Infinite Sadness (Deluxe Edition),Love - Remastered 2012,2rBp8ix2ieRutorlsmPf9K,0.514,0.659,5,-10.074,0,0.0272,0.824,0.11,0.257,95.173,262760,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,32,Mellon Collie And The Infinite Sadness (Deluxe Edition),Ugly - Sadlands Demo,6LsvKn3bsJF3ho6FBOPVC7,0.614,0.417,3,-8.812,0,0.0268,0.0,0.256,0.39,110.819,167107,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,77,Mellon Collie And The Infinite Sadness (Deluxe Edition),1979 - Remastered 2012,5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.583,0.0513,0.964,126.879,266200,4
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,27,Mellon Collie And The Infinite Sadness (Deluxe Edition),My Blue Heaven - BT 2012 Mix,0ffN8q1fw5CaAe2hclqNqf,0.288,0.319,3,-11.159,1,0.0304,0.626,0.247,0.382,136.67,198531,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,36,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),Kill All Your Friends - Live Demo,0mFtKch3OXHZ0oKKewXrjs,0.61,0.74,7,-4.782,1,0.0363,2.28e-06,0.257,0.617,102.553,262267,4
Wrongchilde,6I98msL0hv5umKGyRHovON,41,Gold Blooded (Deluxe Version),Falling in Love (Will Kill You) [feat. Gerard Way],2jFgNCmOnx8vI4P4J5vV5M,0.43,0.491,2,-7.385,1,0.0286,1.43e-06,0.177,0.0884,171.854,250027,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,20,Young and Doomed,Young and Doomed,4yXmfOYfqFUPhh1EqofE1t,0.496,0.869,8,-6.822,1,0.0807,0.00601,0.549,0.251,143.726,234592,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,54,Hazy Shade of Winter (feat. Ray Toro),Hazy Shade of Winter (feat. Ray Toro),1tBZnhDT8xbgJTs43FiqrD,0.248,0.937,5,-5.121,0,0.0687,0.362,0.0799,0.142,149.796,197734,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,58,Happy Together (feat. Ray Toro),Happy Together (feat. Ray Toro),0n0XAmYCMWlzj3W9VdMejw,0.621,0.816,7,-4.077,1,0.0316,0.00559,0.103,0.716,122.032,179393,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,40,Dasher (feat. Lydia Night),Dasher (feat. Lydia Night),6xyE2We3sAOVvTZt7lpAVL,0.491,0.781,2,-5.246,1,0.026,0.1,0.0737,0.232,94.063,290981,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,32,Into the Cave We Wander,Into the Cave We Wander,3INh8cl6UxqW63g42s3kyv,0.507,0.518,4,-12.855,1,0.0277,0.0201,0.107,0.662,140.096,213684,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,41,Stomachaches,.weighted.,46SiJpGhCZqnLZ3yYUYFNA,0.351,0.962,3,-5.264,1,0.0872,0.00148,0.112,0.179,150.064,257507,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,41,Stomachaches,All I Want Is Nothing,0CSXhPEL7jpwoaDbPHEqJA,0.391,0.996,2,-4.073,1,0.0714,0.942,0.585,0.0382,102.577,110093,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,42,Parachutes,Oceans,0FHlWKpxgXcVXBGwxDGtnf,0.575,0.934,4,-5.413,1,0.0912,0.0,0.198,0.455,122.092,265790,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,28,Parachutes,Remedy,2mRjKjMFdHA481Qc7Ul81T,0.481,0.911,8,-6.096,1,0.0963,0.000519,0.101,0.36,122.11,193259,4
Frank Iero,75CziSb5bEWIj1m8TdMwYy,40,Parachutes,I'm A Mess,04Y5gK2CxtVzsEsGb4V4IN,0.471,0.971,8,-6.039,1,0.147,0.000224,0.0631,0.416,115.544,176941,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,36,Hesitant Alien,The Bureau,2lDGj4Pi8UuQIPQdi8M9Eu,0.403,0.87,9,-5.78,1,0.0501,0.408,0.379,0.181,72.517,157547,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,43,Hesitant Alien,Action Cat,176J9E3MwJX8eCd3RvS0Nn,0.375,0.987,1,-4.647,1,0.0683,0.197,0.0782,0.364,146.971,187013,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,42,Hesitant Alien,No Shows,7dtGJHOBbVDwIWDQU38WhJ,0.518,0.957,1,-4.359,0,0.0453,0.282,0.425,0.678,120.007,252320,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,52,Hesitant Alien,Brother,31q2AsxMNpxHNENkWKG1j0,0.536,0.847,2,-4.078,1,0.0248,0.0,0.211,0.624,162.0,270547,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,44,Hesitant Alien,Drugstore Perfume,6iwithG74PfTNOQ9mQcsKx,0.418,0.851,2,-5.12,1,0.0416,3.7e-06,0.489,0.259,105.042,289627,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,37,Hesitant Alien,Juarez,2ef3tmn1HTyBtj2DBlW5j1,0.391,0.945,11,-3.821,0,0.111,0.456,0.223,0.219,158.141,169507,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,34,Hesitant Alien,Get the Gang Together,6CZyq8HYfDDiTcWESdUOE0,0.483,0.927,2,-5.922,1,0.049,0.0,0.319,0.291,108.029,220333,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,38,Hesitant Alien,How It's Going to Be,1yMl0URAMcNjErFuJoCXEe,0.433,0.891,7,-5.289,1,0.0377,0.00534,0.0826,0.321,104.467,224147,4
Gerard Way,4YZ5ECfbM2xSTSQTJGBbO5,48,Hesitant Alien,Maya the Psychic,1tg5c5gVzzpSHUsIWbEl8v,0.428,0.973,5,-4.857,1,0.0576,1.26e-06,0.286,0.181,147.777,181787,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,58,Three Cheers for Sweet Revenge,I Never Told You What I Do for a Living,6gLn8QhAYL4dEwdpVjfCPl,0.253,0.887,11,-4.635,0,0.0578,2.99e-06,0.259,0.274,115.522,232467,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,63,Three Cheers for Sweet Revenge,Cemetery Drive,2cViIXIe8Pbd1sOJExMJlK,0.548,0.888,1,-4.861,0,0.0362,0.00172,0.0943,0.655,115.993,188067,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,59,Three Cheers for Sweet Revenge,"It's Not a Fashion Statement, It's a Deathwish",4fGIqy3bvjX0jz1SJHqjjo,0.353,0.953,1,-3.635,0,0.0515,0.0,0.34,0.48,105.236,210867,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,57,Three Cheers for Sweet Revenge,Hang 'Em High,262RJtiqytpugV1UvDicN9,0.422,0.946,2,-3.145,0,0.0651,0.0,0.231,0.262,127.03,167533,3
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,65,Three Cheers for Sweet Revenge,Thank You for the Venom,0BpKPyXhWsTaWkgXeOd1Sn,0.486,0.977,7,-3.463,1,0.0603,0.0,0.298,0.413,103.501,221093,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,53,Three Cheers for Sweet Revenge,Interlude,4vpaz6338VqJIeJHq6z2mU,0.502,0.0753,9,-22.703,1,0.0322,0.314,0.0844,0.0509,132.827,57173,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,58,Three Cheers for Sweet Revenge,The Jetset Life Is Gonna Kill You,7HKfrU3iuEFrKxTAfVznrG,0.494,0.971,2,-3.868,0,0.0546,4.45e-05,0.0978,0.185,125.019,217733,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,62,Three Cheers for Sweet Revenge,"Give 'Em Hell, Kid",0axF06XwNLobcx5z8BVtYw,0.252,0.993,4,-3.079,0,0.16,0.0,0.228,0.118,183.773,138840,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,45,Number Two,Gun.,1RhrPW9KMZlxqGxO9jIHzM,0.522,0.977,11,-3.328,1,0.101,0.0231,0.0412,0.881,162.033,219827,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,52,Number Two,AMBULANCE,1X75XA77E14HqCCBfkl5FM,0.346,0.897,8,-3.85,1,0.0723,0.000115,0.351,0.5,176.02,232173,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,59,Number Three,The Light Behind Your Eyes,3HyDpKAuR3e4l6QB7hSB2l,0.407,0.459,7,-4.837,1,0.0263,2.98e-05,0.111,0.113,75.016,312760,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,58,Number Three,The World Is Ugly,6VtcgrVYo2xfygcWAfRpd1,0.447,0.781,11,-4.801,0,0.0314,3.4e-05,0.0976,0.102,96.004,294680,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,62,Number One,Boy Division,7wzNovIu5urOjulGX4VzFo,0.357,0.996,3,-3.496,0,0.103,0.0,0.35,0.278,183.039,175453,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,52,Number Four,Make Room!!!!,2Yi6aqwX2e0JQ9bTNUGfRT,0.379,0.978,8,-4.275,1,0.227,0.0552,0.287,0.379,166.206,222013,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,47,Number Four,Kiss the Ring,2I4dgdRRupMhZCusqTsp8W,0.4,0.979,8,-3.99,1,0.145,0.328,0.0692,0.538,158.953,188907,4
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,48,Number Five,Burn Bright,5HLVrG3xcuAQVwB65hI1GU,0.534,0.902,11,-3.008,1,0.0634,0.00362,0.177,0.335,129.968,257120,4
